"zhCN","zhTW","en","ja","ko","Key"
"只能输入≤1000的数字","只能輸入≤1000的數位","Only numbers ≤ 1000 can be entered","≤1000の数字しか入力できません。","≤ 1000 의 숫자 만 입력 가능","onlyNumbersLes1000CanBeEntered"
"只能输入≤10^10的数字","只能輸入≤10^10的數位","Only numbers ≤ 10 ^ 10 can be entered","≤10^10の数字しか入力できません。","≤ 10 ^ 10 의 숫자 만 입력 가능","onlyNumbersLes10000000000CanBeEntered"
"请输入正确的Dapp地址!","請輸入正確的Dapp地址！","Please enter the correct DAPP address!","正しいDappアドレスを入力してください。","정확 한 Dapp 주 소 를 입력 하 세 요!","pleaseEnterTheCorrectDappAddress"
"更多详情请在区块详情上查看","更多詳情請在區塊詳情上查看","Please check the block details for more details","詳細はブロックの詳細をご覧ください。","더 자세 한 정 보 는 블록 상세 정보 에서 확인 하 세 요.","pleaseCheckTheBlockDetailsForMoreDetails"
"我们即将为你创建HD身份钱包","我們即將為你創建HD身份錢包","We're about to create an HD identity wallet for you","私たちはもうすぐあなたのためにHD身分のウォレットを作ります。","저희 가 곧 HD 신분 지갑 을 만들어 드릴 게 요.","wereAboutToCreateAnHdIdentityWalletForYou"
"助记词可以生成HD身份钱包，方便管理","助記詞可以生成HD身份錢包，方便管理","Mnemonic words can generate HD identity wallet for easy management","ニーモニックコードはHD身分のウォレットを生成して、管理しやすいです","보조 기 사 는 HD 신분 지갑 을 생 성하 여 관리 하기 편리 하 다.","mnemonicWordsNotes"
"通过输入Keystore文件添加钱包","通過輸入Keystore檔案添加錢包","Add wallet by entering keystore file","Keystoreファイルを入力してウォレットを追加します","Keystore 파일 입력 으로 지갑 추가","addWalletByEnteringKeystoreFile"
"密码用于保护私钥交易授权，非常重要；","密碼用於保護私密金鑰交易授權，非常重要；","Password is used to protect private key transaction authorization, which is very important;","プライベートキー取引の承認を保護するためのパスワードは、非常に重要です。","비밀 번 호 는 비밀 키 거래 권한 수 여 를 보호 하 는 데 매우 중요 합 니 다.","passwordImportant"
"注：矿工费 = Gas价格 * Gas限制","注：礦工費= Gas價格* Gas限制","Note: mining labor fee = gas price * gas limit","注：マイナー代=Gas代*Gas制限","주의: 광부 비 = 가스 가격 * 가스 제한","gasPriceAndGasLimitNote"
"请设置不少于6位的密码，密码强度越高越好；","請設定不少於6比特的密碼，密碼强度越高越好；","Please set a password of no less than 6 digits. The higher the password strength, the better;","6桁以下のパスワードを設定してください。パスワードの強度が高いほどいいです。","6 자리 이상 의 비밀 번 호 를 설정 하 십시오. 비밀번호 강도 가 높 을 수록 좋 습 니 다.","passwordMinLengthNotes"
"钱包不负责储存密码，也无法找回，请务必牢记。","錢包不負責儲存密碼，也無法找回，請務必牢記。","The wallet is not responsible for storing the password and cannot be retrieved. Please keep it in mind.","ウォレットは暗証番号を保管する責任がありません。取り戻すできません、必ず覚えてください。","지갑 은 비밀 번 호 를 저장 하 는 것 도 책임 지지 않 고 찾 을 수도 없 으 니 꼭 기억 하 세 요.","walletPwdNotes"
"请按顺序抄下下方12个助记词，我们将在下一步验证","請按順序抄下下方12個助記詞，我們將在下一步驗證","Please copy 12 Mnemonic words below in sequence, we will verify it in the following steps.","下の12桁のニーモニックコードを順番に写してください。次のステップで検証します。","아래 12 개의 보조 기 사 를 순서대로 베 끼 십시오. 우 리 는 다음 단계 에 검증 할 것 입 니 다.","auxiliaryWordsNextNotes"
"请勿在公共场所打开二位码，扫描前务必确保周边没有其它摄像头","請勿在公共場所打開二比特碼，掃描前務必確保周邊沒有其它監視器","Do not open the QRcode in public places. Make sure there are no other cameras around before scanning","公共の場所で二桁のコードを開けないでください。スキャンする前に必ず周辺に他のカメラがないようにしてください。","공공장소 에서 두 자리 코드 를 켜 지 마 십시오. 스 캔 하기 전에 주변 에 다른 카메라 가 없 는 지 확인 하 십시오.","qrCodeSecNotes"
"丢失助记词即丢失财产！
请用纸笔抄下助记词并存放在安全的地方！","遺失助記詞即遺失財產！
 請用紙筆抄下助記詞並存放在安全的地方！","Loss of mnemonics means loss of property
 Please write down mnemonics on paper and store them in a safe place!","ニーモニックコードをなくしたら財産をなくします。
ニーモニックコードを紙ペンで写して安全なところに保管してください。","조 사 를 잃 으 면 재산 을 잃 는 다!
종이 와 펜 으로 보조 기 사 를 베 끼 고 안전 한 곳 에 보관 하 세 요!","lossOfMnemonicsMeansLossOfProperty"
"二维码仅供用户在安全环境下直接扫描以便导入钱包，请勿截图和拍照。","二維碼僅供用戶在安全環境下直接掃描以便導入錢包，請勿截圖和拍照。","The QR code is only for users to scan directly in a secure environment in order to import the wallet. Please do not take screenshots and photos.","QRコードは、ユーザーが安全環境下で直接スキャンしてウォレットを導入するためにのみ使用します。スクリーンショットや写真を撮らないでください。","QR 코드 는 사용자 가 지갑 을 가 져 올 수 있 도록 안전 한 환경 에서 직접 스 캔 할 수 있 습 니 다. 캡 처 와 사진 을 찍 지 마 십시오.","qrCodeNotes"
"钱包删除后无法恢复，只能重新导入，请务必确认您已备份助记词或私钥","錢包删除後無法恢復，只能重新導入，請務必確認您已備份助記詞或私密金鑰","After the wallet is deleted, it cannot be recovered and can only be re-imported. Please make sure you have backed up the mnemonic or private key","ウォレットを削除しても元に戻せません。再導入しかできません。必ずニーモニックコードやプライベートキーをバックアップしてください。","지갑 을 삭제 한 후 복구 할 수 없습니다. 다시 가 져 올 수 있 습 니 다. 백업 한 단어 나 비밀 키 를 확인 하 십시오.","deletedWalletNotes"
"网络传输很危险，很容易被黑客获取内容。建议离线设备通过扫描二维码方式传输","網絡傳輸很危險，很容易被駭客獲取內容。 建議離線設備通過掃描二維碼管道傳輸","Network transmission is very dangerous, and it is easy for hackers to access content. It is recommended that offline equipment transmit by scanning QR code","ネットワーク伝送は危険です。ハッキングされやすいです。オフラインデバイスはQRコードをスキャンして伝送することをおすすめします。","인터넷 전송 은 매우 위험 해서 해커 에 의 해 내용 을 얻 기 쉽다.오프라인 장치 가 QR 코드 를 스 캔 하여 전송 하 는 것 을 권장 합 니 다.","offlineScanQRCode"
"请勿保存在邮箱、聊天工具、网盘等互联网能够接触的地方，强烈建议抄写在纸质文本上","請勿保存在郵箱、聊天工具、網盤等互聯網能够接觸的地方，強烈建議抄寫在紙質文字上","Please do not save it in email, chat tools, online disk and other places accessible to the Internet. It is strongly recommended to copy it on paper text","メールアドレス、チャットツール、ネットディスクなどのインターネットの接触できるところに保管しないでください。紙のテキストに書き写すことを強く勧めます。","메 일, 메 신 저, 인터넷 등 인터넷 이 접 할 수 있 는 곳 에 저장 하지 마 십시오. 종이 텍스트 에 베껴 쓰 는 것 을 강력 히 권장 합 니 다.","savedSecNotes"
"AITD Wallet不会存储用户的私钥，私钥一旦丢失将无法找回资产，请妥善保管您的私钥","AITD Wallet不會存儲用戶的私密金鑰，私密金鑰一旦遺失將無法找回資產，請妥善保管您的私密金鑰","AITD wallet will not store the user's private key. Once the private key is lost, the asset cannot be retrieved. Please keep your private key in a propoer spaces.","AITD Walletはユーザーのプライベートキーを保存しません。プライベートキーがなくなったら、資産を探し出せません。プライベートキーを大切に保管してください。","AITD Wallet 은 사용자 의 비밀 키 를 저장 하지 않 습 니 다. 비밀 키 를 잃 어 버 리 면 자산 을 찾 을 수 없습니다. 비밀 키 를 잘 보관 하 십시오.","aitdWalletPrivateKeyNotes"
"为了安全，钱包不会存储用户的密码。如果忘记密码，无法导出助记词和私钥等，只能在“设置—安全中心”中清除钱包数据，再重新设置密码，创建或导入钱包。","為了安全，錢包不會存儲用戶的密碼。 如果忘記密碼，無法匯出助記詞和私密金鑰等，只能在“設定—安全中心”中清除錢包數據，再重新設置密碼，創建或導入錢包。","For security, the wallet does not store the user's password. If you forget your password and cannot export mnemonics and private keys, you can only clear the wallet data in Settings - Security Center, and then reset your password to create or import a wallet.","安全のために、ウォレットはユーザのパスワードを保存しません。パスワードを忘れたら、ニーモニックコードやプライベートキーなどがエクスポートできません。「安全センターの設定」でウォレットデータをクリアし、パスワードを再設定し、ウォレットを作成または導入するしかありません。","안전 을 위해 지갑 은 사용자 의 비밀 번 호 를 저장 하지 않 습 니 다.비밀 번 호 를 잊 어 버 리 면 보조 단어 와 비밀 키 등 을 내 보 낼 수 없고 '설정 - 보안 센터' 에서 지갑 데 이 터 를 지우 고 비밀 번 호 를 다시 설정 하여 지갑 을 만 들 거나 가 져 올 수 있 습 니 다.","walletPwdSecNotes"
"HD身份钱包全称是分层确定性(Hierarchical Deterministic)钱包的缩写。
HD身份钱包可以通过一套助记词，管理所有链上的资产，简单快捷！","HD身份錢包全稱是分層確定性（Hierarchical Deterministic）錢包的縮寫。
 HD身份錢包可以通過一套助記詞，管理所有鏈上的資產，簡單快捷！","The full name of HD identity wallet is the abbreviation of hierarchical deterministic wallet.
HD identity wallet can manage all assets on the chain through a set of mnemonics, which is simple and fast!","HDアイデンティングウォレットは、階層的確定性ウォレットの略語です。
HDアイデンティティーウォレットは、すべてのチェーン上の資産を管理するためのニーモニックコードセットで簡単かつ迅速に使えます。","HD 신분 지갑 은 모두 계층 확정 성 (Hierarchical Deterministic) 지갑 의 줄 임 말이다.
HD 신분 지갑 은 보조 기 사 를 통 해 모든 체인 의 자산 을 관리 할 수 있 습 니 다. 간단 하고 빠 릅 니 다!","hdWalletDesc"
"暂无数据","暫無數據","No data temporarily","データがありません","데이터 없 음","no_data"
"下拉可以刷新","下拉可以重繪","Pull Down To Refresh","プルダウンは更新できます","드 롭 다운 하면 리 셋 가능","pull_down_to_refresh"
"松开立即刷新","鬆開立即重繪","Release to refresh immediately","外してすぐに更新できます","풀 어 즉시 리 셋","release_to_refresh_immediately"
"正在刷新数据中...","正在重繪數據中…","Data is Being Refreshed","データを更新しています..","데이터 새로 고침 중...","data_is_being_refreshed"
"刷新成功","重繪成功","Refresh succeeded","リフレッシュした","리 셋 성공","refresh_succeeded"
"上拉可以加载更多","上拉可以加載更多","Pull Up to load more information","プルアップは更にロードする","위로 당기 면 더 많이 불 러 올 수 있 습 니 다.","pull_load_more"
"松开立即加载更多","鬆開立即加載更多","Release to immediately load more information","外して更にロードする","풀다","release_load_more"
"正在加载更多的数据...","正在加載更多的數據…","Loading more data","もっと多くのデータをロードしています...","더 많은 데 이 터 를 불 러 오 는 중...","loading_more_data"
"加载失败, 点击重试","加載失敗，點擊重試","Loading failed, click Retry","読み込みに失敗しました。もう一度クリックしてください","불 러 오 는 데 실 패 했 습 니 다. 다시 시도 하려 면 누 르 십시오.","Loading_failed_click_retry"
"已经全部加载完毕","已經全部加載完畢","Loading has completed","すべてロードしました","모두 불 러 오기 완료","loading_has_completed"
"刷新失败","重繪失敗","refresh failed","更新失敗","리 셋 실패","refresh_failed"
"年","年","year","年","년.","year"
"月","月","month","月","월.","month"
"成功","成功","success","成功","성공 하 다.","success"
"确认中","確認中","Confirmation in progress","確認中","확인 중","confirmationInProgress"
"不能转账给自己","不能轉帳給自己","You can't transfer it to yourself","自分に振替できません","자신 에 게 이체 할 수 없다","youCantTransferItToYourself"
"的余额不足以支付手续费","的餘額不足以支付手續費","The balance is not enough to pay the handling fee","の残額は手数料を支払うのに足りません","수수료","theBalanceIsNotEnoughToPayTheHandlingFee"
"余额不足","餘額不足","Insufficient balance","残高が足りない","잔고 가 부족 하 다","sorryYourCreditIsRunningLow"
"请输入转账金额","請輸入轉帳金額","Please enter the transfer amount","振替金額を入力してください","이체 금액 을 입력 하 세 요","pleaseEnterTheTransferAmount"
"列表","清單","list","リスト","리스트","list"
"数量","數量","quantity","数","수량","quantity"
"收藏品详情","收藏品詳情","Details of the collection","コレクションの詳細","소장 품 거래 역사","collectionTransactionHistory"
"赠送","贈送","Give","贈る","증정 하 다.","give"
"请输入收款地址","請輸入收款地址","Please enter the receiving address","入金先を入力してください。","입금 주소 입력","pleaseEnterTheCollectionAddress"
"确认中","確認中","Confirmation in progress","確認中","확인 중","confirmationInProgress"
"弱","弱","Weak","弱い","약 하 다","low"
"中","中","Middle","中","중.","middle"
"强","强","strong","強い","강하 다.","strong"
"正在创建······","正在創建······","Creating...","作成中略","생 성 중","creating"
"正在导入······","正在導入······","Importing...","インポート中略","가 져 오 는 중","importing"
"文件密码不能为空","檔案密碼不能為空","File password cannot be empty","ファイルのパスワードが空ではいけない","파일 암호 가 비어 있 으 면 안 됩 니 다.","filePasswordCannotBeEmpty"
"助记词已经存在","助記詞已經存在","Mnemonic has already exists","ニーモニックコードはすでに存在します","보조 기 사 는 이미 존재 한다.","mnemonicAlreadyExists"
"地址已经存在","地址已經存在","Address already exists","アドレスは既に存在します","주소 가 이미 존재 합 니 다","addressAlreadyExists"
"创建成功","創建成功","Created successfully","作成成功","생 성 성공","createdSuccessfully"
"导入成功","導入成功","Import succeed","インポート成功","가 져 오기 성공","importSucceeded"
"创建失败","創建失敗","Creation failed","作成に失敗しました","생 성 실패","creationFailed"
"导入失败","導入失敗","Import failed","インポート失敗","가 져 오기 실패","importFailed"
"创建完成","創建完成","Creation complete","作成完了","생 성 완료","creationComplete"
"导入完成","導入完成","Import complete","インポート完了","가 져 오기 완료","importComplete"
"正在创建······","正在創建······","Creating...","作成中略","생 성 중","creating"
"正在导入······","正在導入······","Importing...","インポート中略","가 져 오 는 중","importing"
"验证助记词","驗證助記詞","Verify mnemonics","ニーモニックコード検証","검증 조사","verificationMnemonics"
"确保您已备份好您的助记词，请验证如下问题","確保您已備份好您的助記詞，請驗證如下問題","Make sure you have backed up your mnemonics, please verify the following questions","あなたのニーモニックコードがバックアップされていることを確認してください。以下の問題を確認してく","보조 단 어 를 백업 하 였 는 지 확인 하 십시오. 다음 문 제 를 확인 하 십시오.","makeSureYouHaveBackedUpYourMnemonicsPleaseVerifyTheFollowingQuestions"
"请选择第{}个单词","請選擇第{}個單詞","Please select the {} word","第{}単語を選んでください","{} 번 단 어 를 선택 하 십시오.","pleaseSelectTheWord"
"复制","複製","Copy","コピー","복제 하 다.","copy"
"导入{}钱包","導入{}錢包","Import {} Wallet","インポート{}ウォレット","{} 지갑 가 져 오기","importWallet"
"只能输入{}的数字","只能輸入{}的數位","Only numbers of {} can be entered","{}の数字しか入力できません","{} 의 숫자 만 입력 할 수 있 습 니 다.","onlyNumbersOfCanBeEntered"
"私钥出错","私密金鑰出錯","Private key error","プライベートキーエラー","비밀 키 오류","privateKeyError"
"私钥长度不够","私密金鑰長度不够","Insufficient private key length","プライベートキーの長さが足りません","비밀 키 길이 부족","insufficientPrivateKeyLength"
"请输入正确的助记词","請輸入正確的助記詞","Please enter the correct mnemonic","正しいニーモニックコードを入力してください","정확 한 보조 어 를 입력 하 세 요.","pleaseEnterTheCorrectMnemonic"
"请输入{}钱包的私钥地址","請輸入{}錢包的私密金鑰地址","Please enter the private key address of {} Wallet"," {} ウォレットのプライベートキーのアドレスを入力してください","{} 지갑 의 비밀 키 주 소 를 입력 하 십시오.","pleaseEnterThePrivateKeyAddressOfWallet"
"请输入私钥","請輸入私密金鑰","Please enter the private key","秘密鍵を入力してください","비밀 키 입력","pleaseEnterThePrivateKey"
"请输入{}个英文单词的助记词","請輸入{}個英文單詞的助記詞","Please enter a mnemonic of {} English words","英語の単語ニーモニックコードを入力してください","{} 영어 단어의 보조 단 어 를 입력 하 십시오.","pleaseEnterAMnemonicOfEnglishWords"
"请输入{}个助记词，以空格隔开","請輸入{}個助記詞，以空格隔開","Please enter {} mnemonic words separated by spaces","ニーモニックコードを入力して、スペースで区切ってください","{} 개의 보조 기 사 를 입력 하여 빈 칸 으로 구분 하 십시오.","pleaseEnterMnemonicWordsSeparatedBySpaces"
"请输入{}钱包的KeyStore文件内容","請輸入{}錢包的KeyStore檔案內容","Please enter the keystore file content of {} Wallet","{}ウォレットのKey Storeファイルの内容を入力してください","{} 지갑 의 KeyStore 파일 내용 을 입력 하 십시오.","pleaseEnterTheKeystoreFileContentOfWallet"
"文件内容","檔案內容","File content","ファイルの内容","파일 내용","fileContent"
"请输入KeyStore密码","請輸入KeyStore密碼","Please enter the keystore password","Key Storeパスワードを入力してください","KeyStore 비밀 번 호 를 입력 하 세 요","pleaseEnterTheKeystorePassword"
"我已经阅读并同意","我已經閱讀並同意","I have read and agree","すでに読んで同意しました","나 는 이미 읽 고 동의 했다.","iHaveReadAndAgree"
"服务及隐私条款","服務及隱私條款","Service and privacy terms","サービス及びプライバシー条項","서비스 및 프라이버시 조항","serviceAndPrivacyTerms"
"未命名","未命名","Unnamed","名前なし","이름 없 음","unnamed"
"添加钱包","添加錢包","Add Wallet","追加","지갑 추가","addWallet"
"暂无消息","暫無消息","No message","メッセージがない","잠시 소식 이 없다.","noMessage"
"设置","設定","Set up","設定","설치 하 다.","setUp"
"由于链上转账需要一定的矿工费，因此全部转出后收到的数额是扣除矿工费之后的数额，实际收到会比全部数额少一些。","由於鏈上轉帳需要一定的礦工費，囙此全部轉出後收到的數額是扣除礦工費之後的數額，實際收到會比全部數額少一些。","Transfer on-chain requires a certain amount of mining labor fee, the amount received after transfer  is the amount after deducting the mining labor fee, and the actual amount received will be less than the total amount.","チェーン上で振替するには一定のマイナー料が必要です、全部転出して受け取った金額はマイナー料を差し引いた金額です。実際に受け取る金額は全部の金額より少ないです。","체인 에서 이 체 를 하려 면 일정한 광부 비가 필요 하기 때문에 모두 이 체 를 한 후에 받 은 액 수 는 광부 비 를 공제 한 후의 액수 이 고 실제 받 은 액 수 는 전체 금액 보다 약간 적다.","miningLaborFeeNotes"
"暂时不支持这条链，是否切换钱包","暫時不支持這條鏈，是否切換錢包","This chain is not supported temporarily. Do you want to switch wallets?","このチェーンはサポートされていません。ウォレットを切り替えますか？","이 체인 은 지원 되 지 않 습 니 다. 지갑 을 바 꿀 지 여부 입 니 다.","thisChainIsNotSupportedTemporarilyDoYouWantToSwitchWallets"
"数据来源于第三方交易所平台Hermes，具体内容以链上数据为准。","數據來源於協力廠商交易所平臺Hermes，具體內容以鏈上數據為准。","The data comes from Hermes, the third-party exchange platform, and the specific content is subject to the data on the chain.","データは第三者取引所プラットフォームのHermesからです。具体的な内容はチェーンデータに準じています。","데 이 터 는 제3자 거래소 플랫폼 Hermes 에서 기원 되 고 구체 적 인 내용 은 체인 상의 데 이 터 를 기준 으로 한다.","theDataComesFromHermesTheThirdpartyExchangePlatformAndTheSpecificContentIsSubjectToTheDataOnTheChain"
"已完成","已完成","Completed","完了しました","완료 됨","completed"
"删除地址","删除地址","Delete address","アドレスを削除","주소 삭제","deleteAddress"
"您确定要删除该地址吗","您確定要删除該地址嗎","Are you sure you want to delete this address","本当にこのアドレスを削除しますか？","이 주 소 를 삭제 하 시 겠 습 니까?","areYouSureYouWantToDeleteThisAddress"
"删除","删除","delete","削除","삭제","delete"
"添加地址","添加地址","Add address","アドレスを追加","주소 추가","addAddress"
"修改地址","修改地址","Modify address","アドレスを変更","주소 수정","modifyAddress"
"请为该地址设置名称，最多{}个字符","請為該地址設定名稱，最多{}個字元","Please set a name for this address, up to {} characters","この住所の名前を最大{}文字で設定してください。","이 주소 의 이름 을 최대 {} 글자 로 설정 하 십시오.","pleaseSetANameForThisAddressUpToCharacters"
"可粘贴或扫描输入钱包","可粘貼或掃描輸入錢包","The wallet can be pasted or scanned","入力ウォレットの貼り付けやスキャンができます。","지갑 을 붙 이거 나 스 캔 할 수 있 습 니 다.","theWalletCanBePastedOrScanned"
"修改","修改","modify","変更","수정 하 다.","modify"
"保存","保存","preservation","保存","보존 하 다.","preservation"
"选择主链","選擇主鏈","Select Key chain","メインチェーンを選択","메 인 체인 선택","selectMainChain"
"扫一扫，向我付款","掃一掃，向我付款","Scan And Pay Me","スキャンしてして、私にお金を払います。","청소 하고 돈 내.","sweepAndPayMe"
"收款地址","收款地址","Receiving Address","入金先","수취 주소","collectionAddress"
"分享","分享","Share","シェアー","함께 나누다","share"
"注意：该地址仅适用于{}链上的转账，请勿用于其它币种","注意：該地址僅適用於{}鏈上的轉帳，請勿用於其它幣種","Note: This address is only applicable to the transfer on the {} chain and should not be used in other currencies","注意：この住所は{}チェーン上の振込にのみ適用されます。他のトーケンには使用しないでください。","주의: 이 주 소 는 {} 체인 의 이체 에 만 적 용 됩 니 다. 다른 화폐 에 사용 하지 마 십시오.","noteThisAddressIsOnlyApplicableToTheTransferOnTheXXXChainAndShouldNotBeUsedInOtherCurrencies"
"添加钱包","添加錢包","Add Wallet","ウォレットを追加","지갑 추가","addWallet"
"切换钱包","切換錢包","Switch Wallet","ウォレットを切り替え","지갑 전환","switchWallet"
"您尚未拥有{}钱包，是否添加钱包？","您尚未擁有{}錢包，是否添加錢包？","You don't have a {} wallet yet. Do you want to add a wallet?","まだウォレットを持っていませんが、ウォレットを追加しますか？","{} 지갑 이 없습니다. 지갑 을 추가 하 시 겠 습 니까?","dapp_addWallet_tip"
"该Dapp只支持{}链，是否切换钱包？","該Dapp只支持{}鏈，是否切換錢包？","This DAPP only supports {} chains. Do you want to switch wallets?","このDappは{}チェーンのみをサポートしていますが、ウォレットを切り替えますか？","이 Dapp 는 {} 체인 만 지원 합 니 다. 지갑 을 전환 하 시 겠 습 니까?","dapp_switchWallet_tip"
"设置新密码","設定新密碼","Set new password","新しいパスワードを設定します","새 비밀번호 설정","setNewPassword"
"修改钱包密码","修改錢包密碼","Change Wallet Password","ウォレットのパスワードを変更","지갑 비밀번호 수정","changeWalletPassword"
"恢复初始设置","恢復初始設定","Restore Initial Settings","初期設定を復元","초기 설정 복원","restoreInitialSettings"
"使用指纹支付","使用指紋支付","Pay with fingerprint","指紋で支払う","지문 으로 지불 하 다","payWithFingerprint"
"使用指纹登录","使用指紋登入","Log in with fingerprint","指紋を登録する","지문 으로 로그 인","logInWithFingerprint"
"使用人脸支付","使用人臉支付","Pay with FaceID","顔認証で支払う","페 이 퍼 페 이 먼 트","payWithFace"
"使用人脸登录","使用人臉登入","Login with FaceID","顔認証でログインする","얼굴 등록 사용","loginWithFace"
"该功能仅限于忘记钱包密码时使用","該功能僅限於忘記錢包密碼時使用","This function is only available when you forget your wallet password","この機能はウォレットのパスワードを忘れた時にのみ使用できます。","이 기능 은 지갑 비밀 번 호 를 잊 어 버 렸 을 때 만 사용 할 수 있 습 니 다.","restoreSettingsTip1"
"我已备份相关的助记词和私钥","我已備份相關的助記詞和私密金鑰","I have backed up the relevant mnemonics and private keys","私は関連のニーモニックコードとプライベートキーをバックアップしました。","나 는 이미 관련 된 보조 단어 와 비밀 키 를 백업 했다.","restoresSettingsTip2"
"我已知晓该功能会清除所有钱包数据","我已知曉該功能會清除所有錢包數據","I know this feature will clear all wallet data","この機能はすべてのウォレットデータをクリアすると知っています。","나 는 이 기능 이 모든 지갑 데 이 터 를 지 울 것 이라는 것 을 이미 알 고 있다.","restoreSettingsTip3"
"我愿意承担该操作所带来的风险","我願意承擔該操作所帶來的風險","I am willing to take the risk of this operation","この操作によるリスクを負担します。","나 는 이 조작 이 가 져 온 위험 을 부담 하고 싶다.","restoreSettingsTip4"
"不会存储用户的{}，一旦丢失将无法找回资产，请妥善保管您的{}","不會存儲用戶的{}，一旦遺失將無法找回資產，請妥善保管您的{}","The user's {} will not be stored. Once it lost, the assets will not be retrieved. Please keep your {} in secure place ","ユーザーの{}は保存されませんので、一度なくしたら資産を取り戻せません。大切に保管してください。","사용자 의 {} 을 저장 하지 않 습 니 다. 잃 어 버 리 면 자산 을 찾 을 수 없습니다. {} 을 잘 보관 하 십시오.","aitdWalletExportLastNotes"
"分享邀请","分享邀請","Share Invitation","紹介をシェアー","초대 공유","myShareInvitation"
"我的","我的","My","私の","나의","mySettings"
"版本更新","版本更新","Version Update","バージョンの更新","버 전 업데이트","myVersionUpdate"
"当前已是最新版本","當前已是最新版本","Is currently the latest version","現在は最新バージョンです。","현재 최신 버 전 입 니 다.","myVersionLatest"
"请输入有效KeyStore文件","請輸入有效KeyStore檔案","Please enter a valid keystore file","有効なKey Storeファイルを入力してください。","유효한 KeyStore 파일 을 입력 하 십시오","pleaseEnterAValidKeystoreFile"
"恢复初始设置会将钱包密码和所有钱包数据（助记词，私钥，Keystore等）抹除，请您务必确认以下内容：","恢復初始設定會將錢包密碼和所有錢包數據（助記詞，私密金鑰，Keystore等）抹除，請您務必確認以下內容：","Restoring the initial settings will erase the wallet password and all wallet data (mnemonics, private keys, keystore, etc.). Please be sure to confirm the following:","初期設定を再開すると、ウォレットのパスワードとウォレットのデータ（プライベートキー、ニーモニックコード、Keystoreなど）を消去しますので、必ず以下の内容を確認してください。","초기 설정 을 복원 하면 지갑 비밀번호 와 모든 지갑 데이터 (보조 단어, 비밀 키, Keystore 등) 를 지 웁 니 다. 다음 내용 을 확인 하 십시오.","restoringSettingsTipTitle"
"功能暂未开放！","功能暫未開放！","The function is not open yet!","機能はまだオープンしていません。","기능 아직 오픈 하지 않 았 습 니 다!","theFunctionIsNotOpenYet"
"修改成功","修改成功","Modified successfully","修正した","수정 성공","modifiedSuccessfully"
"密码长度最小6，最长20","密碼長度最小6，最長20","The minimum password length is 6 characters and the maximum password length is 20 characters","パスワードの長さは最小6、最大20","비밀번호 길이 최소 6, 최대 20","thePasswordLengthTip"
"站内信","站內信","Station Letter ","お知らせ","역 내 편지","mailList"
"全部已读","全部已讀","All read","すべて読みました","모두 읽 음","mail_allRead"
"了解更多","瞭解更多","Learn more","もっと知りたい","더 알 아 보기","learnMore"
"暂无内容","暫無內容","No content Temporarily","内容はまだない","내용 이 없다","noContent"
"信息详情","資訊詳情","Information Details","情報の詳細","정보","mail_informationDetails"
"清除未读","清除未讀","Clear unread","未読メッセージをクリア","읽 지 않 은 항목 지우 기","clearUnread"
"您确定要将所有未读标记为已读吗?","您確定要將所有未讀標記為已讀嗎？","Are you sure you want to mark all unread ?","本当に未読メッセージを既読にしますか？","읽 지 않 은 모든 것 을 읽 은 것 으로 표시 하 시 겠 습 니까?","areYouSureYouWantToMarkAllUnreadAsRead"
"清除","清除","Eliminate","クリア","깨끗이 제거 하 다","eliminate"
"人民币","人民幣","RMB","人民元","인민폐","currency_rmb"
"美元","美元","USDollar","ドル","달러","currency_dollar"
"新加坡元","新加坡元","Singapore Dollar","シンガポールドル","싱가포르 달러","currency_singaporeDollar"
"专业安全
的去中心化钱包","專業安全
的去中心化錢包","Professional and safe 
 decentralized Wallet","専門安全@のは中心に行って財布を溶かします。","전문 안전 @ @ 의 탈 중심 화 지갑","inviteShareTitle"
"Defi入口 · 六链八币 · 链游玩法 · 数据加密","Defi入口·六鏈八幣·鏈遊玩法·資料加密","Defi entry · Six chains and eight coins · Chain game playing method · Data encryption","Defi入口・六鎖八元・チェーン遊び・データ暗号化","Defi 입 구 · 6 체인 8 코 인 · 체인 게임 법 · 데이터 암호 화","inviteShareSubtitle"
"一个值得分享的去中心化钱包","一個值得分享的去中心化錢包","A decentralized wallet worth sharing","共有できる財布を中心にしてください。","나 눌 만 한 탈 중심 화 지갑","inviteShareBottomDec"
"港元","港元","Hong Kong Dollar","香港元","홍콩 달러","currency_hkdollar"
"切换账号","切換帳號","Switch account","アカウントを切り替え","계정 변경","switchAccount"
"复制链接","複製連結","Copy link","リンクをコピー","링크 복사","copyLink"
"刷新","重繪","Refresh","更新","리셋","refresh"
"浏览器中打开","瀏覽器中打開","Open in browser","ブラウザで開く","브라우저에서 열기","openInBrowser"
"链接已复制到剪切板!","連結已複製到剪切板！","Link copied to clipboard!","リンクをクリップボードにコピーしました。","링크가 클립보드에 복사되었습니다!","linkCopiedToClipboard"
"此网页由{}提供","此網頁由{}提供","This page is provided by {}","このウェブページは{}から提供されます","이 웹 페이지는 {}에서 제공합니다.","thisPageIsProvidedBy"
"责任声明","責任聲明","Statement of responsibility","責任声明","책임 선언","statementOfResponsibility"
